device Apple M3 Ultra mathMode safe
input(float bits)      input            (long)(x*2^32)       (long)x              (ulong)x             (int)x      (uint)x
0x00000000  0                0x0000000000000000  0x0000000000000000  0x0000000000000000  0x00000000  0x00000000
0x3f800000  1                0x0000000100000000  0x0000000000000001  0x0000000000000001  0x00000001  0x00000001
0xbf800000  -1               0xffffffff00000000  0xffffffffffffffff  0x0000000000000000  0xffffffff  0x00000000
0x3fc00000  1.5              0x0000000180000000  0x0000000000000001  0x0000000000000001  0x00000001  0x00000001
0xbfc00000  -1.5             0xfffffffe80000000  0xffffffffffffffff  0x0000000000000000  0xffffffff  0x00000000
0x4e800000  1.0737418e+09    0x4000000000000000  0x0000000040000000  0x0000000040000000  0x40000000  0x40000000
0x4effffff  2.1474835e+09    0x7fffff8000000000  0x000000007fffff80  0x000000007fffff80  0x7fffff80  0x7fffff80
0x4f000000  2.1474836e+09    0x8000000000000000  0x0000000080000000  0x0000000080000000  0x7fffffff  0x80000000
0xcf000000  -2.1474836e+09   0x8000000000000000  0xffffffff80000000  0x0000000000000000  0x80000000  0x00000000
0xcf000001  -2.1474839e+09   0x7fffff0000000000  0xffffffff7fffff00  0x0000000000000000  0x80000000  0x00000000
0x4f7fffff  4.294967e+09     0xffffff0000000000  0x00000000ffffff00  0x00000000ffffff00  0x7fffffff  0xffffff00
0x4f800000  4.2949673e+09    0x0000000000000000  0x0000000100000000  0x0000000100000000  0x7fffffff  0xffffffff
0x4f6e6b28  4e+09            0xee6b280000000000  0x00000000ee6b2800  0x00000000ee6b2800  0x7fffffff  0xee6b2800
0x501502f9  1e+10            0x540be40000000000  0x00000002540be400  0x00000002540be400  0x7fffffff  0xffffffff
0xd01502f9  -1e+10           0xabf41c0000000000  0xfffffffdabf41c00  0x0000000000000000  0x80000000  0x00000000
0x5e800000  4.611686e+18     0x0000000000000000  0x4000000000000000  0x4000000000000000  0x7fffffff  0xffffffff
0x5effffff  9.2233715e+18    0x0000000000000000  0x7fffff8000000000  0x7fffff8000000000  0x7fffffff  0xffffffff
0x5f000000  9.223372e+18     0x0000000000000000  0x8000000000000000  0x8000000000000000  0x7fffffff  0xffffffff
0xdf000000  -9.223372e+18    0x0000000000000000  0x8000000000000000  0x0000000000000000  0x80000000  0x00000000
0xdf000000  -9.223372e+18    0x0000000000000000  0x8000000000000000  0x0000000000000000  0x80000000  0x00000000
0x5f7fffff  1.8446743e+19    0x0000000000000000  0xffffff0000000000  0xffffff0000000000  0x7fffffff  0xffffffff
0x5fd02ab5  3.0000001e+19    0x0000000000000000  0xa0556a0000000000  0xffffffffffffffff  0x7fffffff  0xffffffff
0xdfd02ab5  -3.0000001e+19   0x0000000000000000  0x5faa960000000000  0x0000000000000000  0x80000000  0x00000000
0x60ad78ec  1e+20            0x0000000000000000  0x6bc7600000000000  0xffffffffffffffff  0x7fffffff  0xffffffff
0xe0ad78ec  -1e+20           0x0000000000000000  0x9438a00000000000  0x0000000000000000  0x80000000  0x00000000
0x6aa56fa6  1e+26            0x0000000000000000  0x0000000000000000  0xffffffffffffffff  0x7fffffff  0xffffffff
0xeaa56fa6  -1e+26           0x0000000000000000  0x0000000000000000  0x0000000000000000  0x80000000  0x00000000
0x7f7fffff  3.4028235e+38    0x0000000000000000  0x0000000000000000  0xffffffffffffffff  0x7fffffff  0xffffffff
0xff7fffff  -3.4028235e+38   0x0000000000000000  0x0000000000000000  0x0000000000000000  0x80000000  0x00000000
0x7f800000  inf              0x0000000000000000  0x0000000000000000  0xffffffffffffffff  0x7fffffff  0xffffffff
0xff800000  -inf             0x0000000000000000  0x0000000000000000  0x0000000000000000  0x80000000  0x00000000
0x7fc00000  nan              0x0000000000000000  0x0000000000000000  0x0000000000000000  0x00000000  0x00000000
