device Apple M3 Ultra (OpenCL)
x            (long)(x*2^32)     convert_long_sat   (long)x           
0            0000000000000000   0000000000000000   0000000000000000
-0           0000000000000000   0000000000000000   0000000000000000
1            0000000100000000   0000000100000000   0000000000000001
-2.5         fffffffd80000000   fffffffd80000000   fffffffffffffffe
2^31-128     7fffff8000000000   7fffff8000000000   000000007fffff80
2^31         8000000000000000   7fffffffffffffff   0000000080000000
-2^31        8000000000000000   8000000000000000   ffffffff80000000
-(2^31+256)  7fffff0000000000   8000000000000000   ffffffff7fffff00
1e10         540be40000000000   7fffffffffffffff   00000002540be400
-1e10        abf41c0000000000   8000000000000000   fffffffdabf41c00
2^55         0000000000000000   7fffffffffffffff   0080000000000000
2^63         0000000000000000   7fffffffffffffff   8000000000000000
-2^63        0000000000000000   8000000000000000   8000000000000000
1e19         0000000000000000   7fffffffffffffff   8ac7230000000000
2.1837e22    0000000000000000   7fffffffffffffff   c940000000000000
-3.877e26    0000000000000000   8000000000000000   0000000000000000
4e26         0000000000000000   7fffffffffffffff   0000000000000000
FLT_MAX      0000000000000000   7fffffffffffffff   0000000000000000
-FLT_MAX     0000000000000000   8000000000000000   0000000000000000
+inf         0000000000000000   7fffffffffffffff   0000000000000000
-inf         0000000000000000   8000000000000000   0000000000000000
NaN          0000000000000000   0000000000000000   0000000000000000
rc=0
released 16:28:17Z
