== hipdelta
test           atoms    rel|dF|    max|dF|    rel|dE|
gbsa            2489  2.467e-05  8.567e-02  1.781e-07
rf             23558  2.213e-05  7.343e-01  2.407e-07
pme            23558  2.048e-05  3.918e-01  1.140e-06
apoa1rf        92224  5.987e-05  1.327e+00  5.358e-08
apoa1pme       92224  7.747e-05  7.198e-01  5.434e-07
apoa1ljpme     92224  7.747e-05  7.214e-01  5.318e-07
== metal 361452c5c
test           atoms    rel|dF|    max|dF|    rel|dE|
gbsa            2489  2.467e-05  8.583e-02  5.389e-07
rf             23558  2.213e-05  7.343e-01  2.266e-07
pme            23558  2.048e-05  3.920e-01  1.296e-06
apoa1rf        92224  5.987e-05  1.327e+00  9.458e-08
apoa1pme       92224  7.747e-05  7.197e-01  7.844e-07
apoa1ljpme     92224  7.747e-05  7.226e-01  1.059e-06
