gbsa drop=none steps 2000 host_s 7.868894 us_per_step 3934.45 ns_per_day 87.8
| Kernel | Grid x threadgroup | Dispatches/step | GPU us/step | Median us | Min us | Max us |
|---|---|---:|---:|---:|---:|---:|
| computeNonbonded | 360x256 | 1.00 | 72.07 | 71.62 | 36.88 | 153.08 |
| computeGBSAForce1 | 360x256 | 1.00 | 50.95 | 50.50 | 47.33 | 135.96 |
| computeBornSum | 360x256 | 1.00 | 47.35 | 47.12 | 42.67 | 132.50 |
| computeBondedForces | 115x64 | 1.00 | 28.47 | 28.17 | 27.25 | 205.38 |
| findBlockBounds | 2x64 | 1.00 | 11.86 | 11.62 | 11.00 | 95.21 |
| sortShortList | 1x256 | 1.00 | 10.81 | 10.50 | 9.96 | 94.38 |
| findBlocksWithInteractions | 10x256 | 1.00 | 10.37 | 4.50 | 3.42 | 142.88 |
| applyShakeToPositions | 13x64 | 1.00 | 7.63 | 7.42 | 6.62 | 93.50 |
| reduceBornForce | 39x64 | 1.00 | 7.31 | 7.33 | 6.46 | 8.75 |
| clearFourBuffers | 720x64 | 1.00 | 6.71 | 6.62 | 6.12 | 90.58 |
| applyShakeToVelocities | 13x64 | 1.00 | 6.69 | 6.67 | 5.88 | 78.58 |
| removeCenterOfMassMomentum | 39x64 | 1.00 | 6.69 | 6.62 | 5.62 | 88.04 |
| sortBoxData | 39x64 | 1.00 | 6.17 | 6.04 | 5.21 | 75.25 |
| integrateLangevinMiddlePart1 | 39x64 | 1.00 | 6.05 | 5.92 | 4.88 | 180.75 |
| reduceBornSum | 39x64 | 1.00 | 6.03 | 6.00 | 5.25 | 88.12 |
| calcCenterOfMassMomentum | 39x64 | 1.00 | 5.86 | 5.71 | 5.00 | 89.88 |
| integrateLangevinMiddlePart3 | 39x64 | 1.00 | 5.78 | 5.75 | 4.88 | 80.62 |
| integrateLangevinMiddlePart2 | 39x64 | 1.00 | 5.39 | 5.25 | 4.38 | 87.88 |
| computeSortKeys | 2x64 | 1.00 | 5.27 | 5.25 | 4.25 | 88.04 |
| generateRandomNumbers | 156x64 | 0.25 | 2.00 | 7.83 | 7.25 | 90.50 |
| computeKineticEnergy | 1x256 | 0.00 | 0.00 | 8.50 | 8.50 | 8.50 |
| reduceEnergy | 60x256 | 0.00 | 0.00 | 8.17 | 8.17 | 8.17 |
| total | | 19.26 | 309.46 | | | |
