gbsa drop=NonbondedForce steps 2000 host_s 9.329161 us_per_step 4664.58 ns_per_day 74.1
| Kernel | Grid x threadgroup | Dispatches/step | GPU us/step | Median us | Min us | Max us |
|---|---|---:|---:|---:|---:|---:|
| computeNonbonded | 360x256 | 1.00 | 59.34 | 59.12 | 14.88 | 66.50 |
| computeGBSAForce1 | 360x256 | 1.00 | 49.38 | 49.21 | 46.00 | 65.83 |
| computeBornSum | 360x256 | 1.00 | 44.04 | 43.88 | 40.50 | 120.04 |
| computeBondedForces | 115x64 | 1.00 | 24.91 | 24.88 | 23.54 | 26.75 |
| findBlockBounds | 2x64 | 1.00 | 12.11 | 12.12 | 10.75 | 67.04 |
| sortShortList | 1x256 | 1.00 | 11.01 | 11.08 | 9.62 | 12.62 |
| findBlocksWithInteractions | 10x256 | 1.00 | 10.75 | 3.96 | 3.29 | 140.25 |
| applyShakeToPositions | 13x64 | 1.00 | 7.37 | 7.33 | 6.50 | 9.00 |
| reduceBornForce | 39x64 | 1.00 | 7.17 | 7.12 | 6.38 | 11.38 |
| applyShakeToVelocities | 13x64 | 1.00 | 6.69 | 6.62 | 5.88 | 75.38 |
| removeCenterOfMassMomentum | 39x64 | 1.00 | 6.69 | 6.73 | 5.75 | 8.25 |
| clearFourBuffers | 720x64 | 1.00 | 6.60 | 6.42 | 6.12 | 56.46 |
| sortBoxData | 39x64 | 1.00 | 6.07 | 6.12 | 5.17 | 8.92 |
| reduceBornSum | 39x64 | 1.00 | 5.98 | 6.00 | 5.12 | 7.67 |
| integrateLangevinMiddlePart1 | 39x64 | 1.00 | 5.92 | 5.96 | 4.88 | 31.17 |
| integrateLangevinMiddlePart3 | 39x64 | 1.00 | 5.80 | 5.92 | 4.75 | 7.38 |
| calcCenterOfMassMomentum | 39x64 | 1.00 | 5.72 | 5.71 | 4.79 | 7.71 |
| integrateLangevinMiddlePart2 | 39x64 | 1.00 | 5.25 | 5.25 | 4.25 | 21.88 |
| computeSortKeys | 2x64 | 1.00 | 4.92 | 4.75 | 4.21 | 6.62 |
| generateRandomNumbers | 156x64 | 0.25 | 1.90 | 7.50 | 7.00 | 8.79 |
| computeKineticEnergy | 1x256 | 0.00 | 0.00 | 9.71 | 9.71 | 9.71 |
| reduceEnergy | 60x256 | 0.00 | 0.00 | 8.54 | 8.54 | 8.54 |
| total | | 19.26 | 287.63 | | | |
