test           atoms platform precision    rel|dF|    max|dF|    rel|dE|
gbsa            2489 Metal    single     2.467e-05  8.579e-02  6.388e-07
gbsa            2489 Metal    mixed      2.467e-05  8.579e-02  6.137e-07
gbsa            2489 OpenCL   single     2.465e-05  8.877e-02  6.333e-07
rf             23558 Metal    single     2.213e-05  7.342e-01  2.266e-07
rf             23558 Metal    mixed      2.213e-05  7.342e-01  2.216e-07
rf             23558 OpenCL   single     2.214e-05  7.344e-01  2.125e-07
pme            23558 Metal    single     2.048e-05  3.920e-01  1.296e-06
pme            23558 Metal    mixed      2.048e-05  3.920e-01  1.330e-06
pme            23558 OpenCL   single     2.050e-05  3.850e-01  1.035e-06
apoa1rf        92224 Metal    single     5.987e-05  1.327e+00  8.287e-08
apoa1rf        92224 Metal    mixed      5.987e-05  1.327e+00  1.112e-07
apoa1rf        92224 OpenCL   single     5.987e-05  1.327e+00  1.063e-07
apoa1pme       92224 Metal    single     7.747e-05  7.197e-01  7.614e-07
apoa1pme       92224 Metal    mixed      7.747e-05  7.197e-01  7.564e-07
apoa1pme       92224 OpenCL   single     7.747e-05  7.196e-01  6.237e-07
apoa1ljpme     92224 Metal    single     7.747e-05  7.227e-01  1.036e-06
apoa1ljpme     92224 Metal    mixed      7.747e-05  7.227e-01  1.068e-06
apoa1ljpme     92224 OpenCL   single     7.748e-05  7.225e-01  8.755e-07
