2026-09-24T17:39:19Z round 1 gbsa metal-single load { 2.97 3.33 3.06 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 26%; charging; 1:26 remaining present: true 
2026-09-24T17:39:50Z round 1 gbsa metal-mixed load { 2.60 3.20 3.02 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 27%; charging; 1:27 remaining present: true 
2026-09-24T17:40:21Z round 1 gbsa opencl-single load { 3.11 3.25 3.04 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 28%; charging; 1:26 remaining present: true 
2026-09-24T17:40:52Z round 1 rf metal-single load { 3.07 3.24 3.04 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 29%; charging; 1:26 remaining present: true 
2026-09-24T17:41:24Z round 1 rf metal-mixed load { 3.22 3.24 3.05 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 30%; charging; 1:28 remaining present: true 
2026-09-24T17:41:55Z round 1 rf opencl-single load { 3.39 3.28 3.07 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 31%; charging; 1:26 remaining present: true 
2026-09-24T17:42:27Z round 1 pme metal-single load { 2.95 3.19 3.04 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 32%; charging; 1:29 remaining present: true 
2026-09-24T17:42:58Z round 1 pme metal-mixed load { 2.55 3.07 3.01 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 33%; charging; 1:23 remaining present: true 
2026-09-24T17:43:30Z round 1 pme opencl-single load { 2.29 2.96 2.97 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 34%; charging; 1:20 remaining present: true 
2026-09-24T17:44:02Z round 1 apoa1rf metal-single load { 2.26 2.89 2.94 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 35%; charging; 1:23 remaining present: true 
2026-09-24T17:44:36Z round 1 apoa1rf metal-mixed load { 2.11 2.79 2.90 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 36%; charging; 1:25 remaining present: true 
2026-09-24T17:45:09Z round 1 apoa1rf opencl-single load { 2.03 2.68 2.86 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 37%; charging; 1:22 remaining present: true 
2026-09-24T17:45:46Z round 1 apoa1pme metal-single load { 1.95 2.59 2.81 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 38%; charging; 1:23 remaining present: true 
2026-09-24T17:46:20Z round 1 apoa1pme metal-mixed load { 2.48 2.62 2.81 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 39%; charging; 1:19 remaining present: true 
2026-09-24T17:46:53Z round 1 apoa1pme opencl-single load { 2.09 2.52 2.77 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 40%; charging; 1:16 remaining present: true 
2026-09-24T17:47:28Z round 1 apoa1ljpme metal-single load { 1.62 2.35 2.69 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 41%; charging; 1:18 remaining present: true 
2026-09-24T17:48:02Z round 1 apoa1ljpme metal-mixed load { 1.67 2.26 2.65 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 42%; charging; 1:13 remaining present: true 
2026-09-24T17:48:36Z round 1 apoa1ljpme opencl-single load { 1.67 2.21 2.62 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 43%; charging; 1:11 remaining present: true 
2026-09-24T17:49:11Z round 1 amber20-dhfr metal-single load { 1.85 2.21 2.60 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 44%; charging; 1:12 remaining present: true 
2026-09-24T17:49:43Z round 1 amber20-dhfr metal-mixed load { 2.21 2.26 2.60 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 45%; charging; 1:09 remaining present: true 
2026-09-24T17:50:17Z round 1 amber20-dhfr opencl-single load { 2.32 2.28 2.59 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 46%; charging; 1:06 remaining present: true 
2026-09-24T17:50:50Z round 1 amber20-cellulose metal-single load { 2.76 2.37 2.61 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 47%; charging; 1:08 remaining present: true 
2026-09-24T17:51:34Z round 1 amber20-cellulose metal-mixed load { 2.05 2.25 2.55 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 48%; charging; 1:07 remaining present: true 
2026-09-24T17:52:48Z round 1 amber20-cellulose opencl-single load { 1.16 1.92 2.40 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 50%; charging; 0:59 remaining present: true 
2026-09-24T17:53:32Z round 2 gbsa opencl-single load { 2.23 2.06 2.42 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 52%; charging; 1:09 remaining present: true 
2026-09-24T17:54:03Z round 2 gbsa metal-mixed load { 2.56 2.15 2.44 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 52%; charging; 1:09 remaining present: true 
2026-09-24T17:54:34Z round 2 gbsa metal-single load { 2.96 2.27 2.47 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 53%; charging; 1:06 remaining present: true 
2026-09-24T17:55:05Z round 2 rf opencl-single load { 2.51 2.23 2.45 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 54%; charging; 1:02 remaining present: true 
2026-09-24T17:55:36Z round 2 rf metal-mixed load { 2.17 2.18 2.42 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 55%; charging; 1:03 remaining present: true 
2026-09-24T17:56:08Z round 2 rf metal-single load { 2.23 2.20 2.42 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 56%; charging; 1:03 remaining present: true 
2026-09-24T17:56:40Z round 2 pme opencl-single load { 2.73 2.32 2.45 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 57%; charging; 1:03 remaining present: true 
2026-09-24T17:57:11Z round 2 pme metal-mixed load { 2.29 2.26 2.42 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 58%; charging; 1:04 remaining present: true 
2026-09-24T17:57:43Z round 2 pme metal-single load { 2.07 2.20 2.40 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 58%; charging; 1:04 remaining present: true 
2026-09-24T17:58:14Z round 2 apoa1rf opencl-single load { 2.25 2.22 2.40 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 59%; charging; 0:58 remaining present: true 
2026-09-24T17:58:51Z round 2 apoa1rf metal-mixed load { 2.16 2.19 2.38 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 60%; charging; 0:57 remaining present: true 
2026-09-24T17:59:25Z round 2 apoa1rf metal-single load { 2.87 2.34 2.42 } power Now drawing from 'AC Power'  -InternalBattery-0 (id=37552227) 61%; charging; 0:57 remaining present: true 
