2026-09-24T17:03:32Z round 1 gbsa metal-single load { 1.93 3.06 4.23 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 51%; discharging; 2:41 remaining present: true 
2026-09-24T17:04:02Z round 1 gbsa metal-mixed load { 2.02 2.99 4.16 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 51%; discharging; 2:41 remaining present: true 
2026-09-24T17:04:38Z round 1 gbsa opencl-single load { 2.16 2.91 4.08 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 50%; discharging; 2:31 remaining present: true 
2026-09-24T17:05:09Z round 1 rf metal-single load { 2.34 2.88 4.03 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 50%; discharging; 2:21 remaining present: true 
2026-09-24T17:05:41Z round 1 rf metal-mixed load { 2.43 2.85 3.97 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 49%; discharging; 2:11 remaining present: true 
2026-09-24T17:06:14Z round 1 rf opencl-single load { 2.54 2.84 3.93 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 49%; discharging; 2:11 remaining present: true 
2026-09-24T17:06:46Z round 1 pme metal-single load { 2.48 2.81 3.87 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 48%; discharging; 1:51 remaining present: true 
2026-09-24T17:07:18Z round 1 pme metal-mixed load { 2.46 2.76 3.82 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 48%; discharging; 1:51 remaining present: true 
2026-09-24T17:07:51Z round 1 pme opencl-single load { 2.76 2.80 3.79 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 47%; discharging; 1:31 remaining present: true 
2026-09-24T17:08:23Z round 1 apoa1rf metal-single load { 2.80 2.79 3.75 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 47%; discharging; 1:31 remaining present: true 
2026-09-24T17:08:58Z round 1 apoa1rf metal-mixed load { 2.83 2.80 3.71 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 46%; discharging; 1:14 remaining present: true 
2026-09-24T17:09:34Z round 1 apoa1rf opencl-single load { 3.17 2.87 3.70 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 46%; discharging; 1:14 remaining present: true 
2026-09-24T17:10:11Z round 1 apoa1pme metal-single load { 2.42 2.71 3.60 } power Now drawing from 'Battery Power'  -InternalBattery-0 (id=37552227) 45%; discharging; 1:01 remaining present: true 
