test           atoms         config    rel|dF|    max|dF|    rel|dE|
gbsa            2489   Metal-single  2.468e-05  8.567e-02  6.335e-07
gbsa            2489    Metal-mixed  2.468e-05  8.567e-02  6.124e-07
gbsa            2489  OpenCL-single  2.469e-05  8.865e-02  5.354e-07
rf             23558   Metal-single  2.213e-05  7.340e-01  2.218e-07
rf             23558    Metal-mixed  2.213e-05  7.340e-01  2.094e-07
rf             23558  OpenCL-single  2.213e-05  7.341e-01  2.204e-07
pme            23558   Metal-single  2.048e-05  3.918e-01  1.169e-06
pme            23558    Metal-mixed  2.048e-05  3.918e-01  1.202e-06
pme            23558  OpenCL-single  2.049e-05  3.917e-01  9.050e-07
apoa1rf        92224   Metal-single  5.987e-05  1.327e+00  5.065e-08
apoa1rf        92224    Metal-mixed  5.987e-05  1.327e+00  4.871e-08
apoa1rf        92224  OpenCL-single  5.987e-05  1.327e+00  5.211e-08
apoa1pme       92224   Metal-single  7.747e-05  7.200e-01  5.376e-07
apoa1pme       92224    Metal-mixed  7.747e-05  7.200e-01  5.871e-07
apoa1pme       92224  OpenCL-single  7.747e-05  7.198e-01  4.085e-07
apoa1ljpme     92224   Metal-single  7.747e-05  7.229e-01  6.435e-07
apoa1ljpme     92224    Metal-mixed  7.747e-05  7.229e-01  6.179e-07
apoa1ljpme     92224  OpenCL-single  7.747e-05  7.227e-01  4.602e-07
