## apoa1rf pad 0.08 (0 s): NB=2882, median sum of half-sizes 1.222
scheme  B  warps  cand_max  cand_p99  k_max  chunks_max  singles_max  tiles  tile_atoms  model_max_us  model_p99_us  model_sum_ms  owned
tri  1  2882  148  139  3286  91  80  37641  1160765  269  250  351.3  201534
tri  2  5764  105  80  2195  46  59  39085  1160765  190  145  351.3  201534
tri  4  11528  66  48  1328  23  43  41691  1160765  115  86  351.3  201534
wrap  1  2882  263  163  3081  46  86  38984  1203738  267  244  328.9  201534
wrap  2  5764  142  87  1959  23  52  40405  1203738  169  128  328.9  201534
wrap  4  11528  78  49  1315  12  34  43214  1203738  114  76  328.9  201534
hyb1.5(K=2637,tail=245)  1  2882  171  149  3081  49  81  38324  1182139  268  242  343.6  201534
hyb1.5(K=2637,tail=245)  2  5764  109  78  2170  25  51  39743  1182139  188  129  343.6  201534
hyb1.5(K=2637,tail=245)  4  11528  62  44  1268  13  33  42379  1182139  107  76  343.6  201534
hyb2.0(K=2788,tail=94)  1  2882  186  155  3081  47  81  38709  1194654  267  244  337.5  201534
hyb2.0(K=2788,tail=94)  2  5764  105  84  1932  24  53  40099  1194654  172  132  337.5  201534
hyb2.0(K=2788,tail=94)  4  11528  76  48  1584  12  35  42825  1194654  133  77  337.5  201534
## apoa1rf pad 0.14 (0 s): NB=2882, median sum of half-sizes 1.222
scheme  B  warps  cand_max  cand_p99  k_max  chunks_max  singles_max  tiles  tile_atoms  model_max_us  model_p99_us  model_sum_ms  owned
tri  1  2882  162  149  3565  91  86  43408  1344570  296  270  378.2  214817
tri  2  5764  113  86  2358  46  62  44782  1344570  203  156  378.2  214817
tri  4  11528  69  51  1452  23  42  47435  1344570  120  92  378.2  214817
wrap  1  2882  269  172  3303  46  90  45010  1395693  296  264  354.5  214817
wrap  2  5764  147  93  2068  23  56  46403  1395693  178  138  354.5  214817
wrap  4  11528  80  52  1398  12  38  49241  1395693  119  81  354.5  214817
hyb1.5(K=2637,tail=245)  1  2882  190  158  3303  49  84  44185  1369435  298  263  370.0  214817
hyb1.5(K=2637,tail=245)  2  5764  116  83  2320  25  55  45584  1369435  200  138  370.0  214817
hyb1.5(K=2637,tail=245)  4  11528  69  47  1363  13  38  48275  1369435  114  81  370.0  214817
hyb2.0(K=2788,tail=94)  1  2882  191  165  3303  47  84  44671  1384417  298  264  363.5  214817
hyb2.0(K=2788,tail=94)  2  5764  112  89  2037  24  55  46026  1384417  179  142  363.5  214817
hyb2.0(K=2788,tail=94)  4  11528  80  51  1710  12  42  48761  1384417  144  83  363.5  214817
## apoa1pme pad 0.08 (0 s): NB=2882, median sum of half-sizes 1.220
scheme  B  warps  cand_max  cand_p99  k_max  chunks_max  singles_max  tiles  tile_atoms  model_max_us  model_p99_us  model_sum_ms  owned
tri  1  2882  131  120  2734  91  69  28488  867851  233  215  305.0  177711
tri  2  5764  81  68  1700  46  49  29879  867851  143  120  305.0  177711
tri  4  11528  59  41  1129  23  35  32472  867851  101  73  305.0  177711
wrap  1  2882  279  140  2626  46  82  29395  896109  263  205  284.9  177711
wrap  2  5764  142  81  1541  23  45  30800  896109  135  113  284.9  177711
wrap  4  11528  81  43  1086  12  33  33570  896109  93  63  284.9  177711
hyb1.5(K=2661,tail=221)  1  2882  143  132  2790  49  65  29000  883960  242  213  297.6  177711
hyb1.5(K=2661,tail=221)  2  5764  93  71  1718  25  46  30386  883960  151  115  297.6  177711
hyb1.5(K=2661,tail=221)  4  11528  59  40  1017  13  32  33087  883960  89  66  297.6  177711
hyb2.0(K=2772,tail=110)  1  2882  165  134  2626  47  65  29173  889174  232  209  293.5  177711
hyb2.0(K=2772,tail=110)  2  5764  107  74  1804  24  45  30547  889174  151  116  293.5  177711
hyb2.0(K=2772,tail=110)  4  11528  62  41  1120  12  32  33292  889174  94  65  293.5  177711
## apoa1pme pad 0.14 (0 s): NB=2882, median sum of half-sizes 1.220
scheme  B  warps  cand_max  cand_p99  k_max  chunks_max  singles_max  tiles  tile_atoms  model_max_us  model_p99_us  model_sum_ms  owned
tri  1  2882  139  129  3095  91  73  32915  1008114  255  232  328.2  189722
tri  2  5764  87  72  1795  46  52  34269  1008114  152  130  328.2  189722
tri  4  11528  65  44  1242  23  38  36947  1008114  112  78  328.2  189722
wrap  1  2882  288  150  2908  46  91  33973  1042681  276  219  306.9  189722
wrap  2  5764  146  85  1645  23  48  35376  1042681  142  121  306.9  189722
wrap  4  11528  82  46  1182  12  32  38199  1042681  100  68  306.9  189722
hyb1.5(K=2661,tail=221)  1  2882  155  143  3039  49  71  33505  1027644  263  230  320.3  189722
hyb1.5(K=2661,tail=221)  2  5764  102  76  1867  25  47  34926  1027644  163  123  320.3  189722
hyb1.5(K=2661,tail=221)  4  11528  61  42  1065  13  32  37597  1027644  93  71  320.3  189722
hyb2.0(K=2772,tail=110)  1  2882  172  143  2908  47  72  33682  1033875  252  227  316.0  189722
hyb2.0(K=2772,tail=110)  2  5764  110  79  1941  24  46  35082  1033875  160  124  316.0  189722
hyb2.0(K=2772,tail=110)  4  11528  64  43  1232  12  32  37781  1033875  102  69  316.0  189722
cap exit 0
