## dhfr rc 1.0 pad 0.08: NB=737, median sum of half-sizes 1.201
scheme  B  warps  cand_max  cand_p99  k_max  chunks_max  singles_max  tiles  tile_atoms  model_max_us  model_p99_us  model_sum_ms  owned
tri  1  737  127  125  2319  24  77  9832  302918  207  201  82.0  50962
tri  2  1474  76  70  1502  12  50  10177  302918  132  115  82.0  50962
tri  4  2948  54  39  1052  6  34  10800  302918  93  67  82.0  50962
wrap  1  737  225  102  1587  13  69  10017  309618  211  146  79.0  50962
wrap  2  1474  117  56  968  7  36  10399  309618  108  81  79.0  50962
wrap  4  2948  62  35  790  4  29  11122  309618  70  57  79.0  50962
hyb1.5(K=729,tail=8)  1  737  104  94  1587  12  59  9997  308843  155  144  79.6  50962
hyb1.5(K=729,tail=8)  2  1474  61  53  970  6  36  10372  308843  96  83  79.6  50962
hyb1.5(K=729,tail=8)  4  2948  49  35  798  3  28  11063  308843  72  58  79.6  50962
hyb2.0(K=735,tail=2)  1  737  129  99  1587  12  69  10001  309410  161  145  79.3  50962
hyb2.0(K=735,tail=2)  2  1474  67  56  958  6  36  10395  309410  92  84  79.3  50962
hyb2.0(K=735,tail=2)  4  2948  47  37  798  3  28  11083  309410  72  59  79.3  50962
## dhfr rc 1.0 pad 0.14: NB=737, median sum of half-sizes 1.201
scheme  B  warps  cand_max  cand_p99  k_max  chunks_max  singles_max  tiles  tile_atoms  model_max_us  model_p99_us  model_sum_ms  owned
tri  1  737  139  133  2563  24  85  11361  352249  228  219  89.6  55140
tri  2  1474  82  75  1651  12  52  11702  352249  143  127  89.6  55140
tri  4  2948  57  42  1145  6  33  12290  352249  98  72  89.6  55140
wrap  1  737  241  107  1742  13  73  11589  359677  228  157  86.4  55140
wrap  2  1474  126  59  1062  7  39  11947  359677  116  87  86.4  55140
wrap  4  2948  63  37  856  4  29  12672  359677  74  60  86.4  55140
hyb1.5(K=729,tail=8)  1  737  109  100  1742  12  62  11551  358727  167  155  87.0  55140
hyb1.5(K=729,tail=8)  2  1474  68  57  1049  6  39  11913  358727  104  90  87.0  55140
hyb1.5(K=729,tail=8)  4  2948  52  37  880  3  33  12671  358727  78  63  87.0  55140
hyb2.0(K=735,tail=2)  1  737  141  105  1742  12  73  11577  359391  175  157  86.7  55140
hyb2.0(K=735,tail=2)  2  1474  74  59  1037  6  39  11930  359391  99  90  86.7  55140
hyb2.0(K=735,tail=2)  4  2948  49  38  880  3  33  12689  359391  78  63  86.7  55140
## dhfr rc 0.9 pad 0.08: NB=737, median sum of half-sizes 1.201
scheme  B  warps  cand_max  cand_p99  k_max  chunks_max  singles_max  tiles  tile_atoms  model_max_us  model_p99_us  model_sum_ms  owned
tri  1  737  117  109  1989  24  67  7376  224529  177  170  70.1  45237
